group,names,scores,logfoldchanges,pvals,pvals_adj
CD14+ Monocytes,FRAT1,-20.688286,,4.4164320043146015e-95,3.6499438052186793e-94
CD14+ Monocytes,TRPM4,-20.728916,,1.9002120025779958e-95,1.58351000214833e-94
CD14+ Monocytes,RHOC,-20.730074,,1.8550763885759366e-95,1.5523651787246331e-94
CD14+ Monocytes,GBGT1,-20.73858,,1.5544522057921716e-95,1.3062623578085477e-94
CD14+ Monocytes,FRY-AS1,-20.760836,,9.785003720340463e-96,8.292376034186833e-95
CD14+ Monocytes,PROCA1,-20.787073,,5.666401372531031e-96,4.843078096180368e-95
CD14+ Monocytes,MAP3K8,-20.80065,,4.269815770570438e-96,3.665077914652736e-95
CD14+ Monocytes,RP5-1028K7.2,-20.844753,,1.7008651639943007e-96,1.4662630724088799e-95
CD14+ Monocytes,GOSR2,-20.876673,,8.7262310112334e-97,7.555178364704243e-96
CD14+ Monocytes,USP7,-20.879871,,8.161241882168342e-97,7.096732071450732e-96
CD14+ Monocytes,LMNB1,-20.889093,,6.728556847062198e-97,5.876468862063055e-96
CD14+ Monocytes,LINC00662,-20.898043,,5.578625157637908e-97,4.893530840033253e-96
CD14+ Monocytes,RIT1,-20.925097,,3.164280730791845e-97,2.7879125381425946e-96
CD14+ Monocytes,GP9,-20.952116,3.41957,1.7947999289610163e-97,1.5953777146320144e-96
CD14+ Monocytes,GALNT1,-21.008297,,5.507390913663752e-98,4.939364048128925e-97
CD14+ Monocytes,CCL5,-21.008366,,5.4995043227780247e-98,4.939364048128925e-97
CD14+ Monocytes,RP11-443B7.3,-21.013435,-1.3929203,4.942564926461704e-98,4.4729094357119494e-97
CD14+ Monocytes,C1GALT1C1,-21.033003,,3.272644335618828e-98,2.975131214198934e-97
CD14+ Monocytes,VMO1,-21.054781,,2.067327590897863e-98,1.8879704026464503e-97
CD14+ Monocytes,FAAH,-21.067986,,1.5644753054794244e-98,1.44191272394417e-97
CD14+ Monocytes,MRE11A,-21.105486,,7.08233580333091e-99,6.619005423673747e-98
